,buy_time,comment_time,days,color,size,content,score,sentiment
121,2021-11-10 20:28:50,2021-11-18 20:48:06,8,金色,M1 8G 256G 标配,电脑挺好用的，物流也很快，包装不错,5,1
122,2021-11-10 20:25:10,2021-11-18 20:39:55,8,金色,M1 8G 256G 标配,笔记本质量很好，操作很流畅，是正品，非常好用,5,1
123,2021-11-10 20:33:57,2021-11-18 20:38:55,8,金色,M1 8G 256G 标配,京东物流非常快，送货上门，笔记本好用，非常满意,5,1
124,2021-11-10 20:33:10,2021-11-18 20:29:35,8,金色,M1 8G 256G 标配,笔记本很轻薄，性能一级棒，金属材质磨砂的质感，颜值没谁了,5,1
125,2021-11-10 20:53:51,2021-11-18 20:27:14,8,金色,M1 8G 256G 标配,苹果的笔记本颜值很高，系统流畅，色彩度真好。,5,1
126,2021-11-10 20:45:39,2021-11-18 20:25:08,8,金色,M1 8G 256G 标配,很轻薄，携带方便，运行也快，屏幕清晰，用来追剧是不错的选择！,5,1
127,2021-11-10 20:36:18,2021-11-18 20:22:30,8,金色,M1 8G 256G 标配,屏幕大小合适，平时背着也不算笨重，续航可以。,5,1
128,2021-11-10 21:34:55,2021-11-18 20:16:54,8,金色,M1 8G 256G 标配,赞一个，很好用的一款宝贝，很满意这款产品 运行流畅，续航能力强大持久,5,1
129,2021-11-10 20:36:53,2021-11-18 20:13:26,8,金色,M1 8G 256G 标配,运行速度快，好安装，屏幕清晰，散热效果好，很大气的一款，性价比高,5,1
130,2021-11-10 20:45:09,2021-11-18 19:57:18,8,金色,M1 8G 256G 标配,平板画质很清晰，运行也快，打游戏看剧都很好用,5,1
131,2021-11-10 20:31:53,2021-11-18 19:56:23,8,金色,M1 8G 256G 标配,店家发货速度挺快，包装很严实没有任何破损，查询了是正品，很轻薄，运行速度挺快的!,5,1
132,2021-11-10 20:26:04,2021-11-18 19:52:14,8,金色,M1 8G 256G 标配,电脑运行速度挺快的，屏幕清晰，打游戏非常顺畅，满意！,5,1
133,2021-11-10 20:31:40,2021-11-18 19:50:26,8,金色,M1 8G 256G 标配,收到了。很好用。客服态度好。讲解的很清楚。质量那是好的。京东的物流也是超赞的。满意。,5,1
134,2021-11-10 20:23:26,2021-11-18 19:42:26,8,金色,M1 8G 256G 标配,电脑运行速度快，看视频打游戏都不卡，很满意,5,1
135,2021-11-10 20:39:24,2021-11-18 19:36:25,8,金色,M1 8G 256G 标配,收到本本后，迫不及待的开机试了，开机秒开，安装应用运行流畅，着实不错哦，开森！,5,1
136,2021-11-10 20:25:50,2021-11-18 19:34:45,8,金色,M1 8G 256G 标配,质量没得说！苹果就是省心，屏幕很赞！100个赞?,5,1
137,2021-11-10 20:36:30,2021-11-18 19:33:42,8,金色,M1 8G 256G 标配,运行速度666老公很满意！物超所值！苹果就是放心！,5,1
138,2021-11-10 20:34:06,2021-11-18 19:32:06,8,金色,M1 8G 256G 标配,包装严实，送货很快，电脑特意用了一段时间才评价，开机很快，系统运行流畅，本本轻薄好用，值得入手！,5,1
139,2021-11-10 20:28:20,2021-11-18 19:29:52,8,金色,M1 8G 256G 标配,包装完好，是全新正品，操作系统真的是非常流畅，M1芯片很快，日常办公足够了，屏幕显示很清晰，外观设计的很好看，物超所值，真的是太香了。,5,1
140,2021-11-10 20:40:21,2021-11-18 19:27:32,8,金色,M1 8G 256G 标配,性价比很高，质量也不错，是挺好用的，适合出差办公用，轻巧方便，快递更是速度，一天半送到家。,5,1
141,2021-11-10 20:51:58,2021-11-18 19:23:37,8,金色,M1 8G 256G 标配,这款笔记本电脑运行速度很快，玩儿游戏流畅不卡办公娱乐两不误，性价比高，满意。,5,1
142,2021-11-10 20:46:19,2021-11-18 19:21:54,8,金色,M1 8G 256G 标配,"电脑很不错，使用起来很流畅 ，有质保,买的放心，还送了很多配件，很喜欢",5,1
143,2021-11-10 20:36:57,2021-11-18 19:17:51,8,金色,M1 8G 256G 标配,性能强大，带着出门很方便，不错,5,1
144,2021-11-10 20:26:54,2021-11-18 19:15:28,8,金色,M1 8G 256G 标配,包装的挺好，颜值也高，喜欢，运行快,5,1
145,2021-11-10 21:00:30,2021-11-18 19:10:19,8,金色,M1 8G 256G 标配,苹果笔记本真的运行特别快，外观又特别时尚大方，我很喜欢。,5,1
