,buy_time,comment_time,days,color,size,content,score,sentiment
227,2021-12-06 22:21:58,2021-12-07 16:30:56,1,14英寸,【7nm】2021 E14|R7|16G|512GSSD,ThinkPad 这款还是很不错的 ，手感很舒服这个帮朋友买的给用于上学使用，朋友很满意,5,1
228,2021-12-02 20:09:25,2021-12-05 08:56:20,3,14英寸,【7nm】2021 E14|R7|16G|512GSSD,电脑太棒了，磨砂的外壳，手感超棒，这价位十分划算，性价比很高运行流畅，续航能力强，安利一波,5,1
229,2021-09-21 00:00:05,2021-10-15 08:16:54,24,14英寸,【7nm】2021 E14|R5|16G|512GSSD,收到电脑时，没有声音，后来客服给更新了一下驱动，现在用的还可以,5,1
230,2021-11-29 22:00:11,2021-12-03 23:00:05,4,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑没得说，就是买了买早了两天，没拿到赠品，哎。,5,0
231,2021-09-23 13:28:31,2021-10-19 22:59:55,26,14英寸,【7nm】2021 E14|R5|16G|512GSSD,送朋友的礼物，没问题?，朋友很喜欢,5,1
232,2021-09-20 15:29:55,2021-10-26 14:50:33,36,14英寸,【7nm】2021 E14|R5|16G|512GSSD,东西不错，价格也合适，用起来方便。,5,1
233,2021-09-22 10:39:34,2021-10-26 14:50:12,34,14英寸,【7nm】2021 E14|R5|16G|512GSSD,东西不错，价格也合适，用起来方便。,5,1
234,2021-11-17 17:51:49,2021-11-28 09:35:07,11,14英寸,【7nm】2021 E14|R5|16G|512GSSD,轻薄  好用，静音 颜值高,5,1
235,2021-09-23 00:00:23,2021-10-06 23:01:46,13,14英寸,【7nm】2021 E14|R5|16G|512GSSD,物流特快，产品性能好，学生机非常适用！,5,1
236,2021-12-04 10:30:40,2021-12-12 10:50:28,8,14英寸,【7nm】2021 E14|R7|16G|512GSSD,为了更方便的居家办公，最后经过比对选择了这款，果然没有让我失望，不管是外观还是轻盈度我都喜欢，推荐?,5,1
237,2021-08-30 11:27:07,2021-08-31 16:07:44,1,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,昨天下的单，今天就到货了，物流很快。开箱试机正常，电脑运行速度流畅，做工精细，屏幕清晰，很愉快的一次购物。,5,1
238,2021-08-23 20:07:15,2021-10-20 22:23:26,58,15.6英寸,【7nm】2021 E15|R7|16G|512GSSD,"真的超级欢，非支持，质量常好，与卖家描述的完一致，非常满意,真的很喜欢，完全出期望值，发货速度常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满的一次购物。",4,1
239,2021-09-14 20:03:30,2021-10-27 17:43:21,43,14英寸,【7nm】2021 E14|R5|16G|512GSSD,一次满意的购买经历，价格公道,5,1
240,2021-09-29 11:27:47,2021-10-10 19:03:52,11,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑很好用，京东价格很好，非常实惠。东西正品，服务好,5,1
241,2021-09-21 10:25:36,2021-09-30 08:24:53,9,14英寸,【7nm】2021 E14|R5|16G|512GSSD,东西不错，值得推荐！下次继续购买！,5,1
242,2021-11-27 23:53:35,2021-12-14 19:40:57,17,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑好好用，都不记得第几次回购了。,5,1
243,2021-09-18 13:26:38,2021-09-29 14:03:03,11,14英寸,【7nm】2021 E14|R5|16G|512GSSD,希望多点活动 优惠多多  很喜欢,5,1
244,2021-09-23 00:01:10,2021-09-29 07:53:23,6,14英寸,【7nm】2021 E14|R5|16G|512GSSD,"很划算，不到4.5k,质量有保障",5,1
245,2021-09-29 12:00:55,2021-10-31 10:24:14,32,14英寸,【7nm】2021 E14|R5|16G|512GSSD,一直都缺货，抢到一台，这一代amd确实可以。,5,0
246,2021-09-25 08:22:11,2021-10-01 11:23:12,6,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑非常好用，运行快速，安静。,5,1
247,2021-09-23 07:00:59,2021-09-26 11:45:09,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,公司使用，多次购买，值得信赖。,5,1
248,2021-09-16 12:52:35,2021-10-11 18:02:58,25,14英寸,【7nm】2021 E14|R5|16G|512GSSD,产品包装不错，用起来也不错,5,1
249,2021-09-23 09:37:05,2021-10-16 20:38:00,23,14英寸,【7nm】2021 E14|R5|16G|512GSSD,屏幕分辨率很高，颜值不错,5,1
250,2021-11-11 09:33:05,2021-11-19 12:12:44,8,14英寸,【7nm】2021 E14|R5|16G|512GSSD,货真价实可美中不足惜没有鼠标和电脑包,5,1
251,2021-12-09 08:23:02,2021-12-11 21:57:16,2,14英寸,【7nm】2021 E14|R7|16G|512GSSD,电脑运行速度很快，散热非常好，当然最重要是外观太经典了，非常喜欢！！！,5,1
252,2021-08-30 19:14:47,2021-08-31 20:40:39,1,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,一直是用thinkpad的本子，上一台用了十年，没出现任何问题，期待这一个还是一如既往的好用。,5,1
253,2021-10-28 21:19:44,2021-10-29 22:11:58,1,14英寸 win 11,新款E14|R5|16G|512G win11,东西是不错，物流也快，就是只有裸机，电脑包和鼠标还要另外配，要是送配件就更完美了,5,1
254,2021-09-21 08:57:35,2021-09-24 16:46:07,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,暂使用尚可，希望电脑质量过硬，用一段时间再评价。,5,1
255,2021-09-21 09:11:37,2021-11-12 20:11:38,52,14英寸,【7nm】2021 E14|R5|16G|512GSSD,还行吧到街道非诚到还行吧到街道非诚到,5,1
256,2021-09-21 17:38:59,2021-09-22 18:17:05,1,14英寸,【7nm】2021 E14|R5|16G|512GSSD,用来报工还不错吧，键盘还可以,5,1
257,2021-09-18 23:20:52,2021-10-08 22:08:48,20,14英寸,【7nm】2021 E14|R5|16G|512GSSD,现在开机使用正常，其他以后再追评！！！！！,5,1
258,2021-12-11 20:02:33,2021-12-14 08:26:19,3,14英寸,【7nm】2021 E14|R7|16G|512GSSD,下单次日就到货了，物流给力，包装完整，笔记本轻薄，方便出差办公用，同事推荐，非常好用！,5,1
259,2021-08-07 14:42:22,2021-08-17 15:35:14,10,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,包装好  用起来也很流畅  开机速度也可以 10s差不多吧外观真的好看 简单 就喜欢这样的,5,1
